Scientific name,Common Name
Acanalonia conica,Planthopper
Chortophaga viridifasciata,Green-Striped Grasshopper
Schistocerca nitens,vagrant grasshopper
Apis mellifera,Western Honey Bee
Bombus impatiens,Common eastern bumble bee
Bombus griseocollis,brown-belted bumblebee
Cantharis rustica,Sailor Beetle
Cantharis livida,soldier beetle
Chauliognathus marginatus,Margined Leatherwing
Chauliognathus pensylvanicus,Goldenrod Soldier Beetle
Rhagonycha fulva,common red soldier beetle
Cicindela repanda,Bronzed tiger beetle
Cicindela sexguttata,Six-spotted tiger beetle
Harpalus rufipes,strawberry seed beetle
Rutpela maculata,spotted longhorn beetle
Stenurella melanura,Flower Longhorn Beetle
Tetraopes tetrophthalmus,Red Milkweed Beetle
Typocerus velutinus,Banded Longhorn
Cercopis vulnerata,black-and-red froghopper
Acalymma vittatum,Stripped Cucumber Beetle
Cerotoma trifurcata,bean leaf beetle
Chrysochus auratus,Dogbane beetle
Chrysolina bankii,Bronze beetle
Diabrotica balteata,Banded Cucumber Beetle
Diabrotica undecimpunctata,Spotted Cucumber Beetle
Labidomera clivicollis,milkweed leaf beetle
Leptinotarsa juncta,false potato beetle
Leptinotarsa decemlineata,Colorado potato beetle
Chrysopa oculata,Common gold-headed green lacewing
Cicadella viridis,Green leafhopper
Graphocephala versuta,Versute Sharpshooter
Graphocephala coccinea,Candy-striped leafhopper
Homalodisca vitripennis,glassy winged sharpshooter
Jikradia olitoria,Coppery Leafhopper
Oncometopia orbona,the broad-headed sharpshooter
Adalia decempunctata,Ten-Spotted Ladybird
Adalia bipunctata,Two-Spot Ladybird
Calvia quatuordecimguttata,Cream Spot Ladybird
Cheilomenes sexmaculata,Zigzag ladybird beetle
Chilocorus stigma,Twice-stabbed lady beetle
Coccinella transversalis,Transverse ladybird
Coccinella septempunctata,seven-spot ladybird
Coelophora inaequalis,common australian lady beetle
Coleomegilla maculata,spotted lady beetle
Cycloneda sanguinea,spotless laybird
Cycloneda munda,polished ladybird beetle
Halyzia sedecimguttata,orange ladybird
Harmonia conformis,large spotted ladybird
Harmonia axyridis,the harlequin
Hippodamia variegata,Adonis ladybird
Hippodamia convergens,convergent lady beetle
Olla v-nigrum,ashy gray lady beetle
Propylea quatuordecimpunctata,14-spotted ladybird beetle
Psyllobora vigintiduopunctata,22-spot ladybird
Acanthocephala terminalis,Clown Bug
Acanthocephala declivis,Giant Leaf-footed bug
Anasa tristis,Squash Bug
Leptoglossus phyllopus,eastern leaf-footed bug
Achyra rantalis,Garden Webworm
Diaphania hyalinata,Melonworm Moth
Nomophila nearctica,Lucerne moth
Ostrinia nubilalis,European corn worm
Sitochroa palealis,carrot seed moth
Spoladea recurvalis,Beet Webworm Moth
Sehirus cinctus,white-margined burrower bug
Alaus oculatus,Eastern Eyed Click Beetle
Hexagenia limbata,giant burrowing mayfly
Caenurgina erechtea,forage looper
Caenurgina crassiuscula,Clover Looper
Hypena scabra,green cloverworm
Pyrrharctia isabella,isabella tiger moth
Flatormenis proxima,northern flatid planthopper
Metcalfa pruinosa,Citrus Flatid Planthopper
Lycorma delicatula,spotted lanternfly
Chlorochlamys chloroleucaria,Blackberry Looper
Epargyreus clarus,Silver-Spotted Skipper
Hylephila phyleus,fiery skipper
Ochlodes sylvanus,Larger Skipper
Ellychnia corrusca,Winter Firefly
Lucidota atra,black firefly
Photinus pyralis,common eastern firefly
Lygaeus kalmii,small milkweed bug
Lygaeus turcicus,false milkweed bug
Oncopeltus fasciatus,large milkweed bug
Spilostethus pandurus,Milkweed Bug
Adelphocoris lineolatus,Lucerne Bug
Leptopterna dolabrata,meadow plant bug
Lygus lineolaris,tarnished plant bug
Anicla infecta,Green Cutworm Moth
Chrysodeixis includens,soybean looper moth
Helicoverpa armigera,Cotton Bollworm
Helicoverpa zea,corn earworm
Mythimna unipuncta,Armyworm Moth
Spodoptera frugiperda,Fall Armyworm
Spodoptera ornithogalli,Yellow-striped Armyworm
Trichoplusia ni,Cabbage Looper
Danaus plexippus,Monarch butterfly
Cosmopepla lintneriana,twice stabbed stink bug
Erthesina fullo,yellow marmorated stink bug
Eurydema ornata,shield bug
Euschistus servus,Brown stink bug
Graphosoma italicum,Striped bug
Halyomorpha halys,brown marmorated stink bug
Murgantia histrionica,Harlequin Cabbage Bug
Nezara viridula,Southern Green Stink Bug
Palomena prasina,Green shield bugs
Rhaphigaster nebulosa,mottled shieldbug
Pieris rapae,cabbage white butterfly
Pieris brassicae,Large white butterfly
Megacopta cribraria,Globular stink bug
Plutella xylostella,Diamondback moth
Pyrochroa serraticornis,Red-headed Cardinal Beetle
Zelus longipes,Milkweed Assassin Bug
Zelus renardii,Leaf Hopper Assassin Bug
Zelus luridus,Pale Green Assassin Bug
Boisea trivittata,boxelder bug
Corizus hyoscyami,Cinnamon bug
Amphimallon solstitiale,Summer Chafer
Cetonia aurata,rose chafer
Cotinis nitida,Green june beetle
Oxythyrea funesta,white spotted rose beetle
Pelidnota punctata,grapevine beetle
Phyllopertha horticola,garden chafer
Polyphylla decemlineata,watermelon beetle
Popillia japonica,Japanese beetle
Manduca sexta,Tobacco Hornworm
Hermetia illucens,black soldier fly
Episyrphus balteatus,Marmalade Hoverfly
Toxomerus marginatus,Margined Calligrapher
Toxomerus politus,Maize Calligrapher
Toxomerus geminatus,Eastern Calligrapher
Tessaratoma papillosa,Lychee Giant Stink Bug
Argyrotaenia velutinana,Red-Banded Leafroller Moth
Choristoneura rosaceana,Oblique banded leaf roller
Trialeurodes vaporariorum,greenhouse whitefly
Simosyrphus grandicornis,common hover fly
Myzus persicae,green peach aphid
Melanchra picta,Zebra Caterpillar
Epicauta pensylvanica,blister beetle
Diabrotica virgifera,western corn rootworm
Diabrotica barberi,northern corn rootworm
Asphaera lustrans,shiny flea beetle